temperature,air_pressure,same_day_rain,next_day_rain,relative_humidity,wind_direction,wind_speed,cloud_height,cloud_density,month,day,daylight,lightning,air_quality
cold,increasing,dry,dry,low,south,no_wind,low,low,january,tuesday,sunny,no_lightning,bad
medium,decreasing,deluge,deluge,high,north,high,high,high,september,monday,cloudy,no_lightning,medium
cold,increasing,dry,dry,high,east,high,no_cloud,no_cloud,october,sunday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,west,high,high,high,january,tuesday,cloudy,no_lightning,bad
high,decreasing,deluge,deluge,high,north,high,high,high,july,monday,cloudy,low,bad
cold,decreasing,dry,drizzle,low,east,low,no_cloud,no_cloud,february,sunday,sunny,no_lightning,bad
cold,decreasing,dry,deluge,high,north,no_wind,no_cloud,no_cloud,march,saturday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,east,no_wind,high,high,march,tuesday,cloudy,no_lightning,bad
high,decreasing,deluge,deluge,high,east,high,low,low,july,thursday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,north,low,no_cloud,no_cloud,october,monday,sunny,no_lightning,bad
cold,decreasing,deluge,drizzle,high,south,high,low,low,october,tuesday,cloudy,no_lightning,bad
medium,decreasing,dry,drizzle,low,east,high,no_cloud,no_cloud,september,sunday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,north,high,low,high,november,friday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,south,high,low,low,december,thursday,cloudy,no_lightning,bad
cold,decreasing,dry,drizzle,low,east,low,no_cloud,no_cloud,january,sunday,sunny,no_lightning,bad
high,decreasing,dry,drizzle,low,west,low,no_cloud,no_cloud,june,wednesday,sunny,no_lightning,bad
medium,decreasing,dry,drizzle,low,east,low,no_cloud,no_cloud,september,friday,sunny,no_lightning,bad
medium,decreasing,dry,deluge,high,south,low,no_cloud,no_cloud,november,tuesday,sunny,no_lightning,bad
medium,increasing,dry,dry,high,east,low,no_cloud,no_cloud,december,monday,sunny,no_lightning,bad
medium,decreasing,dry,deluge,high,east,no_wind,low,low,april,saturday,cloudy,no_lightning,bad
medium,increasing,drizzle,drizzle,high,north,no_wind,high,low,june,saturday,cloudy,no_lightning,bad
cold,increasing,dry,dry,low,north,low,low,low,november,saturday,cloudy,no_lightning,bad
high,increasing,dry,dry,low,west,no_wind,no_cloud,no_cloud,june,sunday,sunny,no_lightning,medium
cold,increasing,dry,dry,low,east,high,high,low,march,friday,cloudy,no_lightning,bad
medium,increasing,dry,drizzle,low,east,high,high,low,july,tuesday,sunny,no_lightning,bad
high,decreasing,dry,deluge,low,north,no_wind,no_cloud,no_cloud,august,monday,sunny,no_lightning,bad
cold,decreasing,dry,deluge,high,east,low,no_cloud,no_cloud,september,wednesday,sunny,no_lightning,bad
cold,decreasing,dry,deluge,high,west,high,no_cloud,no_cloud,november,wednesday,sunny,no_lightning,bad
high,increasing,dry,dry,low,north,low,no_cloud,no_cloud,august,wednesday,sunny,no_lightning,bad
medium,increasing,drizzle,deluge,high,north,no_wind,high,high,september,wednesday,cloudy,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,south,low,high,low,october,thursday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,north,high,high,low,september,wednesday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,east,low,no_cloud,no_cloud,october,friday,sunny,no_lightning,bad
cold,decreasing,drizzle,drizzle,low,west,low,high,low,february,wednesday,cloudy,no_lightning,bad
cold,decreasing,dry,deluge,high,south,low,no_cloud,no_cloud,may,wednesday,sunny,no_lightning,bad
high,increasing,dry,dry,low,south,no_wind,no_cloud,no_cloud,august,sunday,sunny,no_lightning,good
cold,decreasing,drizzle,drizzle,low,west,low,high,low,november,tuesday,sunny,no_lightning,bad
cold,decreasing,deluge,drizzle,high,west,no_wind,high,high,september,wednesday,cloudy,no_lightning,bad
cold,decreasing,deluge,deluge,high,east,no_wind,high,high,february,tuesday,cloudy,no_lightning,bad
medium,decreasing,deluge,drizzle,high,south,no_wind,high,high,december,sunday,cloudy,no_lightning,medium
cold,increasing,drizzle,dry,high,south,low,low,low,april,tuesday,sunny,no_lightning,bad
cold,increasing,drizzle,dry,low,east,high,low,high,september,tuesday,cloudy,no_lightning,bad
high,increasing,dry,dry,high,east,high,no_cloud,no_cloud,august,friday,sunny,no_lightning,bad
medium,increasing,dry,dry,low,east,no_wind,low,high,january,wednesday,cloudy,no_lightning,bad
high,decreasing,dry,deluge,high,west,low,low,high,august,sunday,cloudy,no_lightning,medium
cold,decreasing,deluge,deluge,high,east,low,high,low,march,tuesday,sunny,no_lightning,medium
